# Tamanho_do_vetor Tempo_de_execucao
100 0.000000
200 0.000000
300 0.000000
400 0.000000
500 0.000000
600 0.000000
700 0.000000
800 7000.000000
900 0.000000
1000 1000.000000
1100 0.000000
1200 0.000000
1300 0.000000
1400 0.000000
1500 7000.000000
1600 0.000000
1700 0.000000
1800 0.000000
1900 7000.000000
2000 1000.000000
2100 2000.000000
2200 0.000000
2300 6000.000000
2400 0.000000
2500 0.000000
2600 8000.000000
2700 0.000000
2800 9000.000000
2900 0.000000
3000 8000.000000
3100 8000.000000
3200 0.000000
3300 9000.000000
3400 9000.000000
3500 7000.000000
3600 11000.000000
3700 5000.000000
3800 8000.000000
3900 8000.000000
4000 8000.000000
4100 9000.000000
4200 8000.000000
4300 8000.000000
4400 16000.000000
4500 8000.000000
4600 8000.000000
4700 16000.000000
4800 9000.000000
4900 15000.000000
5000 8000.000000
5100 17000.000000
5200 16000.000000
5300 16000.000000
5400 17000.000000
5500 15000.000000
5600 16000.000000
5700 17000.000000
5800 16000.000000
5900 16000.000000
6000 24000.000000
6100 16000.000000
6200 25000.000000
6300 16000.000000
6400 24000.000000
6500 25000.000000
6600 32000.000000
6700 17000.000000
6800 24000.000000
6900 41000.000000
7000 35000.000000
7100 22000.000000
7200 33000.000000
7300 42000.000000
7400 25000.000000
7500 33000.000000
7600 32000.000000
7700 36000.000000
7800 42000.000000
7900 37000.000000
8000 40000.000000
8100 34000.000000
8200 33000.000000
8300 49000.000000
8400 50000.000000
8500 49000.000000
8600 41000.000000
8700 58000.000000
8800 58000.000000
8900 50000.000000
9000 48000.000000
9100 42000.000000
9200 49000.000000
9300 51000.000000
9400 57000.000000
9500 43000.000000
9600 62000.000000
9700 58000.000000
9800 57000.000000
9900 58000.000000
10000 65000.000000
