# Tamanho_do_Vetor Tempo_de_Execucao
100 21
110 18
120 20
130 21
140 25
150 25
160 27
170 30
180 31
190 33
200 35
210 40
220 42
230 40
240 23
250 25
260 24
270 25
280 26
290 27
300 28
310 29
320 29
330 31
340 32
350 34
360 37
370 36
380 38
390 37
400 38
410 40
420 40
430 42
440 42
450 42
460 48
470 47
480 48
490 53
500 48
510 49
520 50
530 51
540 52
550 53
560 54
570 55
580 56
590 59
600 59
610 63
620 60
630 60
640 61
650 62
660 64
670 70
680 66
690 67
700 68
710 70
720 72
730 73
740 75
750 74
760 74
770 76
780 80
790 81
800 79
810 88
820 80
830 81
840 83
850 85
860 86
870 87
880 95
890 86
900 87
910 89
920 90
930 92
940 93
950 95
960 95
970 103
980 99
990 100
1000 102
1010 100
1020 102
1030 102
1040 104
1050 113
1060 106
1070 106
1080 108
1090 109
1100 110
1110 112
1120 118
1130 113
1140 114
1150 114
1160 117
1170 118
1180 120
1190 124
1200 121
1210 122
1220 123
1230 124
1240 132
1250 130
1260 200
1270 179
1280 182
1290 184
1300 234
1310 254
1320 204
1330 176
1340 158
1350 136
1360 140
1370 141
1380 143
1390 144
1400 144
1410 145
1420 150
1430 147
1440 147
1450 228
1460 212
1470 212
1480 216
1490 206
1500 178
1510 160
1520 154
1530 157
1540 158
1550 158
1560 161
1570 162
1580 163
1590 164
1600 163
1610 167
1620 167
1630 185
1640 169
1650 168
1660 177
1670 170
1680 180
1690 173
1700 174
1710 176
1720 178
1730 180
1740 180
1750 180
1760 181
1770 183
1780 184
1790 186
1800 187
1810 189
1820 188
1830 191
1840 192
1850 193
1860 195
1870 196
1880 197
1890 200
1900 210
1910 198
1920 200
1930 206
1940 205
1950 203
1960 205
1970 207
1980 254
1990 322
2000 294
2010 302
2020 286
2030 244
2040 209
2050 213
2060 213
2070 218
2080 216
2090 223
2100 219
2110 224
2120 222
2130 225
2140 228
2150 226
2160 225
2170 226
2180 230
2190 232
2200 233
2210 233
2220 234
2230 234
2240 236
2250 244
2260 239
2270 240
2280 244
2290 245
2300 241
2310 266
2320 242
2330 245
2340 249
2350 250
2360 249
2370 250
2380 263
2390 255
2400 258
2410 258
2420 256
2430 258
2440 274
2450 279
2460 273
2470 263
2480 263
2490 263
2500 298
2510 265
2520 268
2530 272
2540 268
2550 269
2560 272
2570 271
2580 275
2590 278
2600 277
2610 280
2620 278
2630 280
2640 284
2650 283
2660 287
2670 290
2680 283
2690 285
2700 289
2710 289
2720 296
2730 289
2740 296
2750 293
2760 295
2770 297
2780 413
2790 435
2800 487
2810 302
2820 310
2830 308
2840 303
2850 323
2860 302
2870 306
2880 316
2890 311
2900 335
2910 457
2920 329
2930 312
2940 312
2950 326
2960 316
2970 322
2980 367
2990 322
3000 327
3010 324
3020 341
3030 322
3040 330
3050 335
3060 326
3070 346
3080 365
3090 504
3100 745
3110 527
3120 416
3130 335
3140 338
3150 371
3160 347
3170 355
3180 344
3190 347
3200 344
3210 349
3220 348
3230 452
3240 541
3250 421
3260 374
3270 543
3280 607
3290 410
3300 367
3310 356
3320 364
3330 418
3340 519
3350 476
3360 381
3370 367
3380 401
3390 379
3400 368
3410 371
3420 400
3430 410
3440 409
3450 393
3460 385
3470 381
3480 467
3490 440
3500 390
3510 380
3520 383
3530 382
3540 387
3550 393
3560 446
3570 384
3580 389
3590 390
3600 404
3610 540
3620 391
3630 391
3640 411
3650 401
3660 401
3670 400
3680 406
3690 409
3700 519
3710 572
3720 474
3730 443
3740 406
3750 413
3760 407
3770 420
3780 411
3790 419
3800 414
3810 444
3820 422
3830 420
3840 421
3850 422
3860 435
3870 420
3880 424
3890 427
3900 434
3910 425
3920 431
