# Tamanho_do_vetor Pior_tempo_de_execucao
100 60.006020
200 27.002746
300 75.007507
400 81.008163
500 81.008146
600 86.008633
700 85.008528
800 85.008573
900 84.008429
1000 140.014040
1100 88.008888
1200 89.008995
1300 113.011302
1400 92.009261
1500 105.010580
1600 116.011627
1700 91.009183
1800 92.009269
1900 165.016512
2000 109.010970
2100 95.009577
2200 124.012483
2300 133.013365
2400 168.016800
2500 188.018805
2600 242.024224
2700 402.040245
2800 299.029985
2900 348.034866
3000 297.029776
3100 332.033283
3200 250.025013
3300 242.024270
3400 187.018778
3500 250.025040
3600 266.026609
3700 327.032728
3800 339.033927
3900 336.033636
4000 342.034244
4100 336.033690
4200 333.033349
4300 359.035951
4400 463.046356
4500 346.034686
4600 396.039686
4700 412.041270
4800 490.049081
4900 497.049776
5000 509.050926
5100 496.049621
5200 576.057689
5300 507.050758
5400 498.049836
5500 585.058579
5600 580.058053
5700 580.058066
5800 582.058295
5900 747.074708
6000 1006.100633
6100 746.074629
6200 664.066497
6300 670.067066
6400 669.066979
6500 750.075024
6600 757.075777
6700 862.086245
6800 837.083764
6900 834.083489
7000 868.086890
7100 1153.115359
7200 989.098935
7300 971.097135
7400 979.097939
7500 985.098553
7600 973.097312
7700 993.099397
7800 1008.100801
7900 1160.116079
8000 1001.100146
8100 1088.108806
8200 1359.135973
8300 1083.108393
8400 1402.140264
8500 1482.148265
8600 1226.122663
8700 1158.115836
8800 1323.132328
8900 1235.123522
9000 1258.125874
9100 1283.128344
9200 1662.166244
9300 1732.173243
9400 1501.150184
9500 1396.139609
9600 1578.157895
9700 1938.193868
9800 1642.164258
9900 1648.164800
10000 2148.214832
