# TamanhoVetor TempoMedio
100 0.000030
200 0.000010
300 0.000160
400 0.000170
500 0.000330
600 0.000420
700 0.000580
800 0.000640
900 0.000980
1000 0.001060
1100 0.001390
1200 0.001700
1300 0.001970
1400 0.002440
1500 0.002960
1600 0.003010
1700 0.003090
1800 0.003410
1900 0.003770
2000 0.004540
2100 0.005080
2200 0.005620
2300 0.006170
2400 0.006400
2500 0.007010
2600 0.008410
2700 0.008350
2800 0.008550
2900 0.009190
3000 0.009580
3100 0.010040
3200 0.011000
3300 0.012040
3400 0.012210
3500 0.013020
3600 0.013560
3700 0.014340
3800 0.015070
3900 0.015950
4000 0.016710
4100 0.017670
4200 0.018440
4300 0.019300
4400 0.020560
4500 0.021520
4600 0.022560
4700 0.023150
4800 0.024750
4900 0.028160
5000 0.029190
5100 0.030810
5200 0.029410
5300 0.030360
5400 0.031210
5500 0.031710
5600 0.033240
5700 0.035330
5800 0.039040
5900 0.038600
6000 0.039950
6100 0.039770
6200 0.040960
6300 0.041770
6400 0.042700
6500 0.045060
6600 0.046640
6700 0.047680
6800 0.049040
6900 0.049940
7000 0.051290
7100 0.053170
7200 0.055160
7300 0.055940
7400 0.058450
7500 0.064320
7600 0.062480
7700 0.062790
7800 0.063620
7900 0.066640
8000 0.067580
8100 0.068420
8200 0.069540
8300 0.072450
8400 0.073810
8500 0.075980
8600 0.082530
8700 0.083800
8800 0.084660
8900 0.083290
9000 0.084370
9100 0.086780
9200 0.091310
9300 0.090820
9400 0.091930
9500 0.095980
9600 0.095860
9700 0.098840
9800 0.102630
9900 0.110660
10000 0.106000
